sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-E2-A1B1-01	TCGA-E2-A1B1-01	Primary Tumor	0.08571	0.3402	0.6375	-0.452	-0.7973	2.089	0.9715	-0.6245	3.154	-0.9807	0.4788	8.328	0.6617	1.267
TCGA-E2-A155-01	TCGA-E2-A155-01	Primary Tumor	-0.3862	0.5007	-0.2965	-0.1579	-3.418	-3.254	0.385	-0.9843	2.359	0.01844	-0.165	9.772	0.2873	0.6559
TCGA-AR-A24U-01	TCGA-AR-A24U-01	Primary Tumor	-1.036	0.4186	-0.5017	0.298	2.085	2.341	1.085	-0.4883	0.8057	-0.7238	1.062	9.005	-0.1492	0.8645
TCGA-A7-A6VV-01	TCGA-A7-A6VV-01	Primary Tumor	-0.4413	0.466	0.5499	0.7013	-1.706	4	0.374	-0.2432	0.4833	1.311	-1.117	10.31	-0.07838	-0.4476
TCGA-BH-A18V-01	TCGA-BH-A18V-01	Primary Tumor	-0.8969	1.976	-0.1114	0.7961	1.841	0.7083	0.8858	0.1749	2.917	-0.7863	0.9055	8.815	0.2078	-0.02734
TCGA-A7-A13E-01	TCGA-A7-A13E-01	Primary Tumor	0.4917	0.7334	-0.5089	0.05095	0.9152	-1.258	0.8629	0.3404	0.8202	-0.8876	0.003655	9.561	1.154	0.2227
TCGA-BH-A18Q-01	TCGA-BH-A18Q-01	Primary Tumor	-1.193	0.7164	0.2955	0.604	-0.1761	-0.6488	0.7059	-0.7557	2.07	0.4059	-1.271	9.568	1.016	0.1444
TCGA-E2-A1LK-01	TCGA-E2-A1LK-01	Primary Tumor	-1.955	0.3483	-0.1564	0.2152	0.7861	2.08	-0.1022	0.164	2.11	-0.3519	-1.198	9.779	-0.5435	0.2439
TCGA-AR-A1AR-01	TCGA-AR-A1AR-01	Primary Tumor	-0.8485	1.56	0.2018	-0.9054	0.6327	2.269	1.696	-0.3132	0.8374	-0.671	0.1447	8.957	0.7659	0.3255
TCGA-E9-A243-01	TCGA-E9-A243-01	Primary Tumor	0.04091	-0.6695	0.3285	-1.039	-1.489	3.255	0.7195	-1.015	0.3569	-1.888	0.1714	7.747	0.3473	0.2119
TCGA-A7-A2KD-01	TCGA-A7-A2KD-01	Primary Tumor	-1.647	2.658	0.3659	0.215	0.4138	-0.08261	0.3916	0.1336	1.883	-0.3516	0.3048	9.656	-0.23	1.245
TCGA-BH-A18T-01	TCGA-BH-A18T-01	Primary Tumor	1.881	1.634	0.3543	-0.4831	0.3728	-0.07081	0.454	-0.6741	1.798	-1.339	0.6648	10.33	1.276	0.9228
TCGA-A2-A04U-01	TCGA-A2-A04U-01	Primary Tumor	-2.306	2.207	0.4622	1.843	-0.07026	-0.3987	-0.6746	-0.9178	-0.09185	-1.075	-2.816	10.35	-2.539	-0.4872
TCGA-AR-A1AH-01	TCGA-AR-A1AH-01	Primary Tumor	-1.962	0.8281	0.4062	-0.01975	-1.111	2.74	0.1873	-0.7277	0.7905	-0.7209	-0.9013	9.305	0.7311	-0.3703
TCGA-AR-A24K-01	TCGA-AR-A24K-01	Primary Tumor	-1.889	1.85	0.1419	-1.034	-1.549	-2.132	1.646	-0.228	1.359	0.05054	0.349	9.684	1.047	1.255
TCGA-AR-A256-01	TCGA-AR-A256-01	Primary Tumor	-1.491	0.9594	0.3164	0.123	1.02	0.5249	0.4094	-0.6239	2.157	-0.5177	0.6108	9.695	0.2366	0.1702
TCGA-AR-A1AN-01	TCGA-AR-A1AN-01	Primary Tumor	-0.8589	-0.3938	-0.7852	-0.1116	-2.322	-1.478	0.9618	0.1078	1.558	-0.1723	0.06195	9.851	0.07752	-0.06344
TCGA-BH-A0C0-01	TCGA-BH-A0C0-01	Primary Tumor	-1.141	-1.851	0.4097	-0.1995	-0.2866	5.611	-0.1957	-0.3877	1.056	-0.6506	0.03765	10.61	0.1354	0.5531
TCGA-A2-A3XX-01	TCGA-A2-A3XX-01	Primary Tumor	1.735	1.055	0.4595	0.1983	-2.61	3.895	-0.7403	0.01538	2.986	-0.2447	-0.8806	10.17	0.2772	-0.5877
TCGA-AR-A1AX-01	TCGA-AR-A1AX-01	Primary Tumor	0.3756	0.3146	-0.1917	-0.2352	0.1392	2.955	0.9716	-0.2415	1.201	0.1283	0.549	9.05	0.02042	0.3432
TCGA-E9-A1NF-01	TCGA-E9-A1NF-01	Primary Tumor	0.4571	-0.6238	-0.3061	0.1136	-0.377	2.276	0.0923	-0.705	1.219	-1.007	0.4527	9.669	-0.2593	0.1064
